time/iterations,custom/collisions_uav_uav_mean,custom/valid_action_fraction_mean,rollout/ep_len_mean,time/total_timesteps,custom/collisions_uav_static_obstacle_mean,custom/reward_exploration_mean,time/fps,time/time_elapsed,custom/reward_energy_efficiency_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,custom/reward_coverage_mean,custom/coverage_fraction_mean,custom/reward_boundary_mean,custom/reward_collision_avoidance_mean,rollout/ep_rew_mean,custom/reward_dynamic_obstacle_avoidance_mean,custom/reward_uav_separation_mean,custom/reward_mission_completion_mean,custom/reward_total_mean,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
,,,,70000,,,,,,,,,,,,,,,,,0.604833984375,340,0.1315893,0.0003,0.2,0.702555775642395,0.012451135164883453,-0.11464254055172204,-4.215265166759491,-0.18355576694011688,-312719.2107132,500.0
35,31.0,0.03742093644562867,500.0,71680,4.5,0.08444444444444445,198,360,-16.60357774294553,0.0,1057.96,10.473994503171248,0.2428586030244815,-671.0066,0.0,-301990.81427991,-2.6986266888852355,-94.86721581059417,0.0,-774.6175812948092,,,,,,,,,,,,
36,90.22,0.03668461512963857,500.0,73728,6.0,0.27944444444444444,200,366,-18.128334633704824,2.75,1078.5,-1.9441636363636343,0.24377844217919328,-625.4692000000002,0.0,-303136.67593023996,0.0,-76.75148754253907,0.0,-722.013741368163,0.63935546875,350,0.15461488,0.0003,0.2,0.8821287155151367,0.011916576080329833,-0.11871686833910644,-4.214384132623673,-0.19466347992420197,,
37,53.76,0.02990802663397336,500.0,75776,2.25,0.07977941176470589,202,373,-17.45598639913473,0.67,1145.09,-5.605199999999999,0.20745899216787353,-637.9794,0.0,-303991.19923166,-8.470949023649666,-17.961576363895414,0.0,-687.3933323749152,0.619677734375,360,0.14216143,0.0003,0.2,0.6218900680541992,0.013630423924769274,-0.11432187981554306,-4.190554851293564,-0.18864355981349945,,
38,46.02,0.04242861147291016,500.0,77824,8.0,0.2916887524240465,204,379,-15.403065916007987,1.5,1100.65,-10.899000000000001,0.29566183859029976,-600.7005,0.0,-304513.21790353005,-0.09300129412006272,-82.22551302193104,0.0,-709.0293914796349,0.62578125,370,0.13474798,0.0003,0.2,0.8380095958709717,0.011508677178062499,-0.11928770848899148,-4.188546222448349,-0.18912233412265778,,
39,51.14,0.041859885482057616,500.0,79872,7.25,0.0,206,386,-17.189691243287548,1.25,1142.0,0.0,0.3002227722772277,-675.51,0.0,-302826.00949913,0.0,-118.29000805881144,0.0,-810.9896993020988,0.631982421875,380,0.15149775,0.0003,0.2,0.8553249835968018,0.009959382352462853,-0.11663124124752358,-4.157289755344391,-0.19224777817726135,,
,,,,80000,,,,,,,,,,,,,,,,,0.63056640625,390,0.15457821,0.0003,0.2,0.8313894867897034,0.010293172871752177,-0.11749099738080986,-4.177613818645478,-0.19281376898288727,-302873.276972,500.0
40,52.62,0.03566991193921255,500.0,81920,11.5,0.2863357843137255,203,401,-19.02900193885491,2.0,1163.35,-0.24215510204081625,0.2646816831683169,-635.9794000000002,0.0,-303966.27404991,-0.7840506448781629,-81.11394333162878,0.0,-736.862215233089,,,,,,,,,,,,
41,31.96,0.02674214775018592,500.0,83968,9.67,0.2947513597513598,205,408,-17.115951598896537,1.0,1253.82,-9.341999999999999,0.20626393892605932,-608.2039000000001,-8.5,-302680.79647440003,0.0,-64.16563145692179,0.0,-707.032731696067,0.6142578125,400,0.15979451,0.0003,0.2,0.8513379096984863,0.011177286995371105,-0.11736431933240965,-4.147751128673553,-0.19370068609714508,,
42,57.46,0.10260662908498336,500.0,86016,10.58,2.2256416021684897,206,416,-16.51673124968975,0.84,1046.84,365.47441714285713,0.21560617500731638,-523.3944000000001,-25.5,-302847.9549010701,-0.9789584121360332,-47.31670415688225,0.0,-246.0067350736823,0.636474609375,410,0.14963955,0.0003,0.2,0.784829318523407,0.010054518115066458,-0.12132849288755096,-4.081228005886078,-0.1903851330280304,,
43,13.34,0.2522789476452397,500.0,88064,1.32,6.392815967105238,208,422,-16.67679372597736,0.36,464.54,653.3161463928924,0.13434980436847924,-300.2176,-39.0,-302414.72266544,-0.23130970545943363,-9.03180047582783,0.0,294.551458452733,0.611767578125,420,0.15616404,0.0003,0.2,0.8757829070091248,0.010248753527775989,-0.11483816026011481,-4.117636936903,-0.18467400968074799,,
,,,,90000,,,,,,,,,,,,,,,,,0.618505859375,430,0.15166369,0.0003,0.2,0.8655925989151001,0.008113040901662316,-0.11679065563366749,-4.099931299686432,-0.19653111696243286,-312485.8369054,500.0
44,0.0,0.30489341287338545,500.0,90112,0.79,7.891826608172567,206,437,-16.015037960415885,0.0,6.56,517.0657928472839,0.08296487857740999,-151.6122,-68.0,-301867.52743769,-1.0039798276148781,0.0,0.0,288.3264016674257,,,,,,,,,,,,
45,0.0,0.3387529214542353,500.0,92160,1.56,7.066584925844634,207,443,-17.216541539358502,0.84,10.11,385.1956024156464,0.1528578427547188,-163.1156,-100.5,-301921.6390572,-18.210273900585165,0.0,0.0,93.21977190154738,0.63857421875,440,0.17988536,0.0003,0.2,0.8775532245635986,0.009449446586222621,-0.11756078530452214,-4.075839364528656,-0.18925869464874268,,
46,0.5,0.2197287302602234,500.0,94208,1.22,3.8826790510924143,209,450,-17.107423575283384,0.0,49.85,199.70947975408788,0.14457920792079207,-405.5441,-46.0,-302196.98329472,-1.903903582282191,-1.0245215333413058,0.0,-267.9877898857265,0.6349609375,450,0.15914743,0.0003,0.2,0.8442023992538452,0.010244617983335046,-0.1180567522183992,-4.018979293107987,-0.19376549124717712,,
47,0.0,0.2403055912113522,500.0,96256,1.45,3.1345221317770795,210,456,-16.524336009140953,0.48,56.97,101.02484172511073,0.19791925773912245,-408.55769999999995,-17.0,-302098.46131118,-12.399761857959092,0.0,0.0,-350.3224340102122,0.62197265625,460,0.14800751,0.0003,0.2,0.8809610605239868,0.012353742635605158,-0.11601111883064733,-4.038569366931915,-0.19691620767116547,,
48,0.0,0.19748462343938628,500.0,98304,5.25,2.7030568709625276,212,463,-17.836597317215578,0.35,81.77,134.16227161846987,0.20259079601990052,-457.0951000000001,-10.5,-302144.96650914,-6.577148747905728,-0.1848162127746118,0.0,-355.32833378846357,0.643017578125,470,0.16813377,0.0003,0.2,0.8455234169960022,0.009827364956072416,-0.12014135149656795,-3.9787802398204803,-0.18881961703300476,,
