2026-08-28 00:25:38,507 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 132/200: reward=-568735.04 coverage=0.652 epsilon=0.050 mean_loss=719781.5601
2026-08-28 00:25:46,020 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 133/200: reward=-392311.04 coverage=0.455 epsilon=0.050 mean_loss=1222646.7922
2026-08-28 00:25:53,744 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 134/200: reward=-172441.41 coverage=0.678 epsilon=0.050 mean_loss=748451.0670
2026-08-28 00:26:01,132 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 135/200: reward=-120212.99 coverage=0.940 epsilon=0.050 mean_loss=331857.0470
2026-08-28 00:26:08,804 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 136/200: reward=-199760.09 coverage=0.710 epsilon=0.050 mean_loss=535281.9164
2026-08-28 00:26:16,290 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 137/200: reward=-323193.34 coverage=0.750 epsilon=0.050 mean_loss=630249.8354
2026-08-28 00:26:23,654 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 138/200: reward=-673017.98 coverage=0.189 epsilon=0.050 mean_loss=943113.6269
2026-08-28 00:26:31,204 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 139/200: reward=-282816.07 coverage=0.431 epsilon=0.050 mean_loss=1016668.1617
2026-08-28 00:26:38,391 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 140/200: reward=-594441.78 coverage=0.185 epsilon=0.050 mean_loss=936319.5417
2026-08-28 00:26:45,633 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 141/200: reward=-691129.57 coverage=0.223 epsilon=0.050 mean_loss=1200878.6873
2026-08-28 00:26:53,258 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 142/200: reward=-287588.80 coverage=0.505 epsilon=0.050 mean_loss=1221535.2965
2026-08-28 00:27:00,758 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 143/200: reward=-594958.17 coverage=0.443 epsilon=0.050 mean_loss=755922.2523
2026-08-28 00:27:08,170 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 144/200: reward=-384277.76 coverage=0.637 epsilon=0.050 mean_loss=1027260.9940
2026-08-28 00:27:15,723 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 145/200: reward=-319779.38 coverage=0.470 epsilon=0.050 mean_loss=602676.7682
2026-08-28 00:27:23,840 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 146/200: reward=-477122.18 coverage=0.625 epsilon=0.050 mean_loss=922761.3360
2026-08-28 00:27:31,337 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 147/200: reward=-293411.26 coverage=0.645 epsilon=0.050 mean_loss=1531269.5418
2026-08-28 00:27:38,878 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 148/200: reward=-482033.99 coverage=0.448 epsilon=0.050 mean_loss=1224450.3278
2026-08-28 00:27:46,176 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 149/200: reward=-453132.77 coverage=0.502 epsilon=0.050 mean_loss=889582.2128
2026-08-28 00:27:53,796 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 150/200: reward=-502017.96 coverage=0.485 epsilon=0.050 mean_loss=804936.3614
2026-08-28 00:28:01,311 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 151/200: reward=-269831.38 coverage=0.724 epsilon=0.050 mean_loss=744178.6797
2026-08-28 00:28:08,831 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 152/200: reward=-476195.76 coverage=0.756 epsilon=0.050 mean_loss=630264.1675
2026-08-28 00:28:16,288 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 153/200: reward=-511719.45 coverage=0.463 epsilon=0.050 mean_loss=1477630.3250
