custom/valid_action_fraction_mean,custom/reward_uav_separation_mean,time/iterations,rollout/ep_rew_mean,custom/reward_energy_efficiency_mean,custom/reward_collision_avoidance_mean,custom/coverage_fraction_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,rollout/ep_len_mean,custom/reward_mission_completion_mean,time/total_timesteps,custom/reward_total_mean,custom/collisions_uav_uav_mean,custom/collisions_uav_static_obstacle_mean,custom/reward_dynamic_obstacle_avoidance_mean,time/time_elapsed,custom/reward_boundary_mean,custom/reward_exploration_mean,time/fps,custom/reward_coverage_mean,train/policy_gradient_loss,eval/mean_ep_length,train/value_loss,train/learning_rate,train/approx_kl,eval/mean_reward,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/loss
0.3304307581784378,-19.047449020474634,42,-259651.44403984002,-16.70994668024883,-45.0,0.1780990985665731,0.36,390.72,500.0,0.0,344064,394.2221066776984,7.0,3.35,-3.9062059215547458,3517,-235.17680000000001,7.118251285914397,97,706.9442570140621,,,,,,,,,,,,
,,,,,,,,,,,350000,,,,,,,,,,-0.11956556146324146,500.0,0.0021058016399365443,0.0003,0.2812666,-291825.16716,0.2,0.7060791015625,420,-3.435657149553299,0.9155682921409607,-0.18589702248573303
0.26287705395519223,0.0,43,-258245.30779678005,-16.524336009140953,-37.5,0.21747437810945275,0.27,37.46,500.0,0.0,352256,-191.4685958637786,0.0,3.7,-7.5307519608409965,3634,-310.9795,3.7024169577711437,96,177.36357514843223,,,,,,,,,,,,
,,,,,,,,,,,360000,,,,,,,,,,-0.11864360544568626,500.0,0.002092836993142555,0.0003,0.25586864,-267957.24696039996,0.2,0.6988525390625,430,-3.378615267574787,0.9230397343635559,-0.1815357655286789
0.15091162458220664,-22.004796049035882,44,-256294.58125337,-16.294056999609996,-23.0,0.2389975247524752,0.0,145.54,500.0,0.0,360448,-453.1197652843496,5.3,1.43,-4.677960294349889,3751,-454.3332,1.896580977828875,96,65.29366708081719,,,,,,,,,,,,
0.10608372441208778,-80.67329824623327,45,-261969.25539063997,-18.268617420769207,-15.5,0.24843302687411598,0.75,283.19,500.0,0.0,368640,-748.0338625534495,5.8,2.43,0.0,3838,-634.7277000000001,0.31533882783882783,96,0.8204142857142875,-0.12151211511227303,,0.002076091057915619,0.0003,0.26363674,,0.2,0.6993408203125,440,-3.331406734138727,0.9126458168029785,-0.18473033607006073
,,,,,,,,,,,370000,,,,,,,,,,-0.12008616689272458,500.0,0.002485107854136004,0.0003,0.2723651,-335230.2542796,0.2,0.69637451171875,450,-3.338753767311573,0.902097761631012,-0.18836385011672974
0.10711136389243327,-90.9506728304988,46,-260363.83089354,-17.493289345717535,-3.0,0.32619970256463754,0.25,340.82,500.0,0.0,376832,-706.6209229739411,16.28,6.75,-0.663904225029254,3953,-587.9386000000002,0.2327922077922078,95,-6.807248780487803,,,,,,,,,,,,
,,,,,,,,,,,380000,,,,,,,,,,-0.11530871929426212,500.0,0.0021242861789232846,0.0003,0.25360447,-295609.3346156,0.2,0.6944580078125,460,-3.349727899581194,0.9176962375640869,-0.17930684983730316
0.09443380453919077,-80.26806574310287,47,-260137.76177968003,-16.558895423716514,-1.5,0.35903300492610835,1.21,404.2,500.0,0.0,385024,-669.7110523286326,3.46,9.0,-6.057544023711585,4069,-581.6869000000002,0.48896933703551343,94,15.871383524862877,,,,,,,,,,,,
,,,,,,,,,,,390000,,,,,,,,,,-0.12059841108130058,500.0,0.0018985878079547547,0.0003,0.27819663,-281392.3341734,0.2,0.70364990234375,470,-3.295444508641958,0.9309072494506836,-0.18477541208267212
0.09244803590584663,0.0,48,-260671.17565398998,-16.11188424504637,-53.5,0.41620707675762025,1.25,519.29,500.0,0.0,393216,-608.1604470097086,3.5,11.54,-1.9806716661747763,4184,-532.1495000000001,1.0912010645219186,93,-5.509592163009403,,,,,,,,,,,,
,,,,,,,,,,,400000,,,,,,,,,,-0.11789094910054701,500.0,0.0017592031933418184,0.0003,0.2864632,-246911.38287260002,0.2,0.69915771484375,480,-3.247567667812109,0.9123450517654419,-0.18432722985744476
0.09439054662651719,-82.09531298221397,49,-261298.81079484004,-19.448065271221004,-23.0,0.4912323509021735,2.25,604.08,500.0,0.0,401408,-670.9609956408646,10.24,14.43,-0.2202528435300467,4301,-545.408,1.0911215345822125,93,-1.8804860784818045,,,,,,,,,,,,
0.061366438868878805,-2.4158899336486077,50,-255595.98509634996,-18.30232740133602,-12.5,0.3710351485148514,1.5,879.67,500.0,0.0,409600,-621.5864717954117,54.5,10.71,-0.21947640820525657,4389,-598.4488,0.21507987252872166,93,10.084942075249488,-0.1229716145338898,,0.0017547255142289942,0.0003,0.29667023,,0.2,0.7150146484375,490,-3.3089896596968176,0.930525541305542,-0.18520556390285492
,,,,,,,,,,,410000,,,,,,,,,,-0.12101109729264863,500.0,0.0015859932785133423,0.0003,0.2917384,-233172.6357252,0.2,0.70645751953125,500,-3.265032509714365,0.9414175748825073,-0.18537300825119019
0.06449637767546576,-2.043743669949371,51,-251246.03116669002,-16.620658166116353,-4.5,0.433409668807113,1.75,906.79,500.0,0.0,417792,-588.107676610337,30.0,11.0,-3.4837423250443185,4506,-560.4216000000001,0.5058468084203378,92,-1.5437792576473175,,,,,,,,,,,,
